customer_id,age,credit_score,salary,closure_event_flag,is_churn
1000,59,695,127558.34,0,0
1001,49,813,78518.88,0,0
1002,35,613,88967.03,0,0
1003,63,574,135138.49,0,0
1004,28,716,43413.45,1,1
1005,41,776,125853.44,0,0
1006,59,748,116325.03,0,0
1007,39,663,110888.32,0,0
1008,43,691,99288.43,0,0
1009,31,726,142733.5,0,0
1010,31,676,163247.28,0,0
1011,44,598,127504.8,0,0
1012,56,535,128062.27,0,0
1013,60,595,102941.73,0,0
1014,44,651,90097.57,0,0
1015,23,650,119006.53,1,0
1016,42,689,95656.26,0,0
1017,22,723,75684.75,0,0
1018,44,536,140086.15,0,0
1019,64,767,141304.17,0,0
1020,50,682,47964.59,0,1
1021,58,512,126099.11,0,0
1022,22,778,145048.81,0,0
1023,41,716,125125.67,0,0
1024,53,785,35629.78,1,1
1025,32,772,114177.66,0,0
1026,42,561,153170.24,0,0
1027,64,583,126175.67,0,0
1028,45,716,133478.3,0,0
1029,47,841,128540.73,0,0
1030,62,686,98612.22,0,0
1031,48,518,104478.87,0,0
1032,36,676,128471.63,0,0
1033,35,599,140421.79,0,0
1034,64,732,147497.62,0,0
1035,23,575,98547.36,0,0
1036,57,764,130828.01,0,0
1037,27,783,149676.1,1,0
1038,41,705,95322.96,0,0
1039,29,722,157168.68,0,0
1040,59,551,160973.52,0,0
1041,38,838,185627.16,0,0
1042,24,643,125773.34,0,0
1043,45,568,125910.62,0,0
1044,34,598,140674.86,0,0
1045,29,524,139945.07,0,0
1046,46,552,148159.17,0,0
1047,22,650,139600.83,0,0
1048,40,643,48719.6,1,1
1049,48,556,43280.68,1,1
1050,27,538,93218.65,0,0
1051,64,608,120146.31,0,0
1052,28,680,159093.39,0,0
1053,55,541,88743.84,0,0
1054,34,685,103063.11,0,0
1055,37,722,42947.45,1,1
1056,56,621,129847.8,0,0
1057,60,632,98124.36,0,0
1058,24,662,109595.15,0,0
1059,22,714,90480.45,0,0
1060,26,720,144512.12,0,0
1061,62,734,113602.97,0,0
1062,24,830,62322.15,1,1
1063,49,645,122027.51,0,0
1064,38,738,114506.49,0,0
1065,46,575,112079.46,0,0
1066,64,508,113895.0,0,0
1067,54,573,122770.53,0,0
1068,30,752,182810.19,0,0
1069,56,729,111528.51,0,0
1070,34,506,112341.16,0,0
1071,51,673,44181.49,1,1
1072,35,640,31887.79,1,1
1073,28,667,84475.39,0,0
1074,34,669,131377.32,0,0
1075,43,782,99564.37,0,0
1076,60,621,133831.82,0,0
1077,41,693,37403.81,1,1
1078,36,504,62397.44,0,0
1079,38,528,129239.44,0,0
1080,44,664,129028.62,0,0
1081,46,838,105522.99,0,0
1082,45,635,104041.4,0,0
1083,61,820,87215.68,0,0
1084,49,841,139327.5,0,0
1085,35,644,142055.39,0,0
1086,21,826,98023.73,0,0
1087,45,716,106501.64,0,0
1088,27,800,118417.77,0,0
1089,29,631,74462.13,1,1
1090,44,791,40905.45,1,1
1091,21,569,96414.61,0,0
1092,64,751,127594.51,0,0
1093,28,774,29564.62,1,1
1094,44,681,137949.76,0,0
1095,31,666,161888.68,0,0
1096,37,590,36117.89,1,1
1097,28,701,138372.34,0,0
1098,55,845,105414.69,0,0
1099,55,518,87477.46,0,0
1100,53,538,84994.87,0,0
1101,25,625,49844.57,0,0
1102,62,672,137346.39,0,0
1103,59,640,117429.11,0,0
1104,61,741,142730.4,0,0
1105,48,719,155700.79,0,0
1106,27,625,122497.64,0,0
1107,29,557,21753.21,1,1
1108,28,647,108391.99,0,0
1109,32,816,111347.89,0,0
1110,54,500,36061.32,1,1
1111,53,847,115640.62,0,0
1112,43,689,112024.81,0,0
1113,44,690,119542.08,0,0
1114,57,811,142158.25,0,0
1115,55,616,102683.46,0,0
1116,64,633,118336.79,0,0
1117,60,557,126131.95,0,0
1118,42,543,149005.55,0,0
1119,47,672,114017.58,0,0
1120,55,659,102054.42,0,0
1121,21,672,107890.98,0,0
1122,55,816,30937.15,1,1
1123,57,802,170832.63,0,0
1124,34,648,87156.05,0,0
1125,23,579,92617.46,0,0
1126,21,712,115780.08,0,0
1127,25,702,122773.9,0,0
1128,46,751,139674.24,0,0
1129,34,728,97721.67,0,0
1130,59,663,93422.27,0,0
1131,47,726,123452.18,0,0
1132,29,646,113539.98,0,0
1133,35,519,143168.02,0,0
1134,35,546,132184.0,0,0
1135,46,732,133884.48,1,0
1136,62,804,59045.43,1,1
1137,33,513,178889.51,0,0
1138,52,642,50038.16,1,1
1139,59,500,23461.21,1,1
1140,52,553,52072.12,1,1
1141,24,758,54702.99,1,1
1142,50,643,104816.36,0,0
1143,57,511,160733.08,0,0
1144,43,829,126597.36,0,0
1145,59,723,105238.05,0,0
1146,35,771,129360.91,0,0
1147,63,655,120878.7,0,0
1148,49,507,107700.67,0,0
1149,56,621,85084.28,0,0
1150,33,847,38761.3,1,1
1151,52,663,125245.45,0,0
1152,27,589,174343.46,0,0
1153,42,635,52718.82,1,1
1154,48,685,40190.54,1,1
1155,22,815,109119.89,0,0
1156,62,677,29555.36,1,1
1157,26,527,50034.29,1,1
1158,48,719,23784.44,1,1
1159,48,540,136254.76,0,0
1160,64,727,160816.31,0,0
1161,64,691,113477.19,0,0
1162,40,644,143612.27,0,0
1163,50,700,102769.27,0,0
1164,31,711,112438.33,0,0
